"PATHWAY SORTORDER","BIOCHEMICAL","SUPER PATHWAY","SUB PATHWAY","COMP ID","PLATFORM","CHEMICAL ID","RI","MASS","PUBCHEM","CAS","KEGG","Group                 HMDB"
"2478","1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*","Lipid","Plasmalogen","52475","LC/MS Pos Late","100008999","2511","752.55889999999999","9547058",NA,NA,"HMDB05779"
"2470","1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*","Lipid","Plasmalogen","52748","LC/MS Pos Late","100009225","2633","728.55889999999999",NA,NA,NA,"HMDB11376"
"2469","1-(1-enyl-stearoyl)-2-oleoyl-GPE (P-18:0/18:1)","Lipid","Plasmalogen","52614","LC/MS Pos Late","100008919","2950","730.57449999999994",NA,"144371-68-6",NA,"HMDB11375"
"2498","1-(1-enyl-stearoyl)-GPE (P-18:0)*","Lipid","Lysoplasmalogen","39271","LC/MS Pos Late","100003001","1649","466.32920000000001",NA,NA,NA,NA
"5239","1,2,3-benzenetriol sulfate (2)","Xenobiotics","Chemical","48762","LC/MS Neg","100006374","1709","204.9812",NA,NA,NA,NA
"2057","1,2-dilinoleoyl-GPC (18:2/18:2)","Lipid","Phosphatidylcholine (PC)","52603","LC/MS Pos Late","100008903","2006","782.56939999999997","5288075","998-06-1",NA,"HMDB08138"
"2139","1,2-dilinoleoyl-GPE (18:2/18:2)*","Lipid","Phosphatidylethanolamine (PE)","53174","LC/MS Pos Late","100009217","2083","740.52250000000004","9546812",NA,NA,"HMDB09093"
"1980","1,2-dipalmitoyl-GPC (16:0/16:0)","Lipid","Phosphatidylcholine (PC)","19130","LC/MS Pos Late","100000657","2365","734.56939999999997","452110","63-89-8",NA,"HMDB00564"
"2100","1,2-dipalmitoyl-GPE (16:0/16:0)*","Lipid","Phosphatidylethanolamine (PE)","57341","LC/MS Pos Late","100009204","2498","692.52250000000004","445468",NA,NA,"HMDB08923"
"2215","1,2-dipalmitoyl-GPI (16:0/16:0)*","Lipid","Phosphatidylinositol (PI)","57375","LC/MS Pos Late","100009169","3122","828.55970000000002",NA,NA,NA,"HMDB09778"
"4090","1,3,7-trimethylurate","Xenobiotics","Xanthine Metabolism","34404","LC/MS Neg","100001397","1985","209.06800000000001","79437","5415-44-1","C16361","HMDB02123"
"4087","1,3-dimethylurate","Xenobiotics","Xanthine Metabolism","32391","LC/MS Neg","100001106","1671.4","195.05240000000001","70346","944-73-0",NA,"HMDB01857"
"1057","1,5-anhydroglucitol (1,5-AG)","Carbohydrate","Glycolysis, Gluconeogenesis, and Pyruvate Metabolism","20675","LC/MS Polar","100000580","1656","209.0667","64960","154-58-5","C07326","HMDB02712"
"4199","1,6-anhydroglucose","Xenobiotics","Food Component/Plant","21049","LC/MS Neg","100000939","919.7","161.0455","2724705","498-07-7",NA,"HMDB00640"
"4088","1,7-dimethylurate","Xenobiotics","Xanthine Metabolism","34400","LC/MS Neg","100001399","1578.6","195.05240000000001","91611","33868-03-0","C16356","HMDB11103"
"1341","10-heptadecenoate (17:1n7)","Lipid","Long Chain Monounsaturated Fatty Acid","33971","LC/MS Neg","100001278","5555","267.233","5312435","29743-97-3",NA,"HMDB60038"
"1349","10-nonadecenoate (19:1n9)","Lipid","Long Chain Monounsaturated Fatty Acid","33972","LC/MS Neg","100001277","5780","295.26429999999999","5312513","73033-09-7",NA,"HMDB13622"
"1318","10-undecenoate (11:1n1)","Lipid","Medium Chain Fatty Acid","32497","LC/MS Neg","100001197","5085.8","183.13910000000001","14891","1333-28-4","C13910","HMDB33724"
"3023","11beta-hydroxyandrosterone glucuronide","Lipid","Androgenic Steroids","63251","LC/MS Neg","100020541","4209","481.24430000000001",NA,NA,NA,NA
"1761","12,13-DiHOME","Lipid","Fatty Acid, Dihydroxy","38395","LC/MS Neg","62","5137","313.23840000000001","10236635","263399-35-5","C14829","HMDB04705"
"1843","12-HEPE","Lipid","Eicosanoid","46293","LC/MS Neg","100002165","5265","317.2122","10041593","81187-21-5",NA,"HMDB10202"
"1852","12-HETE","Lipid","Eicosanoid","37536","LC/MS Neg","100002167","5326","319.22789999999998","5312983","71030-37-0;73837-14-6",NA,"HMDB06111"
"1859","12-HHTrE","Lipid","Eicosanoid","57393","LC/MS Neg","1261","5175","279.19659999999999","5283141","54397-84-1","C20388","HMDB12535"
"1738","13-HODE + 9-HODE","Lipid","Fatty Acid, Monohydroxy","37752","LC/MS Pos Late","100002196","1386","279.2319","43013",NA,NA,NA
"1784","14-HDoHE/17-HDoHE","Lipid","Docosanoid","53034","LC/MS Pos Late","100009278","1398","327.2319",NA,NA,NA,NA
"1854","15-HETE","Lipid","Eicosanoid","37538","LC/MS Neg","100000565","5298","319.22789999999998","5280724","54845-95-3","C04742","HMDB02110"
"2966","16a-hydroxy DHEA 3-sulfate","Lipid","Androgenic Steroids","38168","LC/MS Neg","100002126","4240","383.15339999999998",NA,NA,NA,NA
"1735","16-hydroxypalmitate","Lipid","Fatty Acid, Monohydroxy","39609","LC/MS Neg","100002953","5236.2","271.22789999999998","10466","506-13-8","C18218","HMDB06294"
"2888","17alpha-hydroxypregnanolone glucuronide","Lipid","Pregnenolone Steroids","47403","LC/MS Neg","100005418","5071.8999999999996","509.2756",NA,NA,NA,NA
"2887","17alpha-hydroxypregnenolone 3-sulfate","Lipid","Pregnenolone Steroids","37482","LC/MS Neg","100002128","4800","411.18470000000002","152971","28901-70-4",NA,"HMDB00416"
"2268","1-arachidonoyl-GPA (20:4)","Lipid","Lysophospholipid","46325","LC/MS Pos Late","100004442","1509","459.25060000000002",NA,"799268-65-8",NA,NA
"2307","1-arachidonoyl-GPC* (20:4)*","Lipid","Lysophospholipid","33228","LC/MS Pos Late","100001551","1460","544.33979999999997",NA,NA,"C05208","HMDB10395"
"2352","1-arachidonoyl-GPE (20:4n6)*","Lipid","Lysophospholipid","35186","LC/MS Pos Late","100001571","1470","502.2928","42607465",NA,NA,"HMDB11517"
"2392","1-arachidonoyl-GPI* (20:4)*","Lipid","Lysophospholipid","34214","LC/MS Neg","100001654","5482","619.28890000000001",NA,NA,NA,"HMDB61690"
"2522","1-arachidonylglycerol (20:4)","Lipid","Monoacylglycerol","34397","LC/MS Neg","100001433","6250","303.23289999999997","5282281","35474-99-8","C13857","HMDB11549"
"329","1-carboxyethylisoleucine","Amino Acid","Leucine, Isoleucine and Valine Metabolism","62558","LC/MS Neg","100020427","2628","202.10849999999999",NA,NA,NA,NA
"288","1-carboxyethylleucine","Amino Acid","Leucine, Isoleucine and Valine Metabolism","62559","LC/MS Neg","100020425","2663","202.10849999999999",NA,NA,NA,NA
"133","1-carboxyethylphenylalanine","Amino Acid","Phenylalanine Metabolism","62566","LC/MS Neg","100020419","2844","236.09280000000001",NA,NA,NA,NA
"150","1-carboxyethyltyrosine","Amino Acid","Tyrosine Metabolism","62564","LC/MS Neg","100020421","1846","252.08770000000001",NA,NA,NA,NA
"352","1-carboxyethylvaline","Amino Acid","Leucine, Isoleucine and Valine Metabolism","62562","LC/MS Neg","100020423","2008","188.09280000000001",NA,NA,NA,NA
"2521","1-dihomo-linolenylglycerol (20:3)","Lipid","Monoacylglycerol","48341","LC/MS Neg","100006121","6400","305.24860000000001",NA,NA,NA,NA
"2541","1-dihomo-linoleoylglycerol (20:2)","Lipid","Monoacylglycerol","35103","LC/MS Neg","100001483","6800","307.26420000000002",NA,NA,NA,NA
"2525","1-docosahexaenoylglycerol (22:6)","Lipid","Monoacylglycerol","35153","LC/MS Neg","100001481","6150","309.22239999999999",NA,NA,NA,"HMDB11587"
"2319","1-lignoceroyl-GPC (24:0)","Lipid","Lysophospholipid","49617","LC/MS Pos Late","100002873","1907","608.46500000000003",NA,"325171-59-3",NA,"HMDB10405"
"2517","1-linolenoylglycerol (18:3)","Lipid","Monoacylglycerol","34393","LC/MS Neg","100001435","6214","277.21730000000002","53480978","124151-74-2",NA,"HMDB11569"
"2291","1-linolenoyl-GPC (18:3)*","Lipid","Lysophospholipid","45951","LC/MS Pos Late","100005350","1410","518.32410000000004",NA,NA,NA,"HMDB10388"
"2062","1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*","Lipid","Phosphatidylcholine (PC)","52710","LC/MS Pos Late","100009131","1969","806.56939999999997",NA,NA,NA,"HMDB08147"
"2058","1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*","Lipid","Phosphatidylcholine (PC)","53176","LC/MS Pos Late","100009343","1939","780.55380000000002",NA,NA,NA,"HMDB08141"
"2516","1-linoleoylglycerol (18:2)","Lipid","Monoacylglycerol","27447","LC/MS Neg","100001040","6477","279.23289999999997","5283469","2277-28-3",NA,NA
"2264","1-linoleoyl-GPA (18:2)*","Lipid","Lysophospholipid","52690","LC/MS Polar","100009082","1441","433.23610000000002",NA,NA,NA,"HMDB07856"
"2289","1-linoleoyl-GPC (18:2)","Lipid","Lysophospholipid","34419","LC/MS Neg","100001395","6160","594.34130000000005","11988421",NA,"C04100","HMDB10386"
"2340","1-linoleoyl-GPE (18:2)*","Lipid","Lysophospholipid","36600","LC/MS Pos Late","100001570","1482","478.2928","52925130",NA,NA,"HMDB11507"
"2379","1-linoleoyl-GPG (18:2)*","Lipid","Lysophospholipid","54885","LC/MS Neg","100009227","5516","507.27280000000002",NA,NA,NA,NA
"2387","1-linoleoyl-GPI* (18:2)*","Lipid","Lysophospholipid","36594","LC/MS Neg","100001778","5494","595.28890000000001",NA,NA,NA,NA
"84","1-methyl-4-imidazoleacetate","Amino Acid","Histidine Metabolism","32350","LC/MS Pos Early","100001208","2064","141.0659","75810","2625-49-2","C05828","HMDB02820"
"85","1-methyl-5-imidazoleacetate","Amino Acid","Histidine Metabolism","62946","LC/MS Pos Early","100002910","1989","141.0659","6451814","4200-48-0",NA,"HMDB04988"
"67","1-methylhistidine","Amino Acid","Histidine Metabolism","30460","LC/MS Pos Early","100001051","2755","170.0924","92105","332-80-9","C01152","HMDB00001"
"3865","1-methylnicotinamide","Cofactors and Vitamins","Nicotinate and Nicotinamide Metabolism","27665","LC/MS Pos Early","55","1940","137.07089999999999","10129985","1005-24-9","C02918","HMDB00699"
"4085","1-methylurate","Xenobiotics","Xanthine Metabolism","34395","LC/MS Polar","100001400","1900","181.0367","69726","708-79-2","C16359","HMDB03099"
"4091","1-methylxanthine","Xenobiotics","Xanthine Metabolism","34389","LC/MS Neg","100001405","1568.8","165.04179999999999","80220","6136-37-4","C16358","HMDB10738"
"1968","1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*","Lipid","Phosphatidylcholine (PC)","53195","LC/MS Pos Late","100009139","1914","754.53809999999999",NA,NA,NA,"HMDB07883"
"1964","1-myristoyl-2-palmitoyl-GPC (14:0/16:0)","Lipid","Phosphatidylcholine (PC)","19258","LC/MS Pos Late","100000672","2147","706.53809999999999","129657","69525-80-0",NA,"HMDB07869"
"2508","1-myristoylglycerol (14:0)","Lipid","Monoacylglycerol","35625","LC/MS Neg","100001618","6353.3","227.20160000000001","79050","75685-84-6","C01885","HMDB11561"
"2135","1-oleoyl-2-arachidonoyl-GPE (18:1/20:4)*","Lipid","Phosphatidylethanolamine (PE)","55041","LC/MS Pos Late","100009219","2200","766.53809999999999",NA,NA,NA,"HMDB09069"
"2056","1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*","Lipid","Phosphatidylcholine (PC)","52697","LC/MS Pos Late","100009130","2011","832.58510000000001",NA,NA,NA,"HMDB08123"
"2138","1-oleoyl-2-docosahexaenoyl-GPE (18:1/22:6)*","Lipid","Phosphatidylethanolamine (PE)","53209","LC/MS Pos Late","100009220","2119","790.53809999999999",NA,NA,NA,NA
"2132","1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*","Lipid","Phosphatidylethanolamine (PE)","52687","LC/MS Pos Late","100009078","2270","742.53809999999999","9546753",NA,NA,"HMDB05349"
"2229","1-oleoyl-2-linoleoyl-GPI (18:1/18:2)*","Lipid","Phosphatidylinositol (PI)","52451","LC/MS Polar","100008979","902","859.53390000000002",NA,NA,NA,"HMDB09838"
"2515","1-oleoylglycerol (18:1)","Lipid","Monoacylglycerol","21184","LC/MS Neg","100000924","6650","281.24860000000001","5283468","111-03-5",NA,"HMDB11567"
"2263","1-oleoylglycerophosphate (18:1)","Lipid","Lysophospholipid","36812","LC/MS Polar","100001671","1433","435.25170000000003","5497152","325465-93-8",NA,NA
"2286","1-oleoyl-GPC (18:1)","Lipid","Lysophospholipid","48258","LC/MS Pos Late","100001272","1540","522.35540000000003","16081932","19420-56-5",NA,"HMDB02815"
"2338","1-oleoyl-GPE (18:1)","Lipid","Lysophospholipid","35628","LC/MS Pos Late","100001569","1554","480.30849999999998","9547071","89576-29-4",NA,"HMDB11506"
"2377","1-oleoyl-GPG (18:1)*","Lipid","Lysophospholipid","45968","LC/MS Neg","100005716","5610","509.2885",NA,NA,NA,NA
"2385","1-oleoyl-GPI (18:1)","Lipid","Lysophospholipid","36602","LC/MS Neg","100001777","5599","597.30449999999996",NA,NA,NA,NA
"2011","1-palmitoleoyl-2-linolenoyl-GPC (16:1/18:3)*","Lipid","Phosphatidylcholine (PC)","53180","LC/MS Pos Late","100009345","1850","754.53809999999999",NA,NA,NA,"HMDB08008"
"2512","1-palmitoleoylglycerol (16:1)*","Lipid","Monoacylglycerol","52431","LC/MS Neg","100008952","6094","253.21729999999999",NA,NA,NA,"HMDB11565"
"2277","1-palmitoleoyl-GPC* (16:1)*","Lipid","Lysophospholipid","33230","LC/MS Pos Late","100001511","1450","494.32409999999999","24779461",NA,NA,"HMDB10383"
"1998","1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)","Lipid","Phosphatidylcholine (PC)","52462","LC/MS Pos Late","100008914","2091","782.56939999999997","10747814","35418-58-7",NA,"HMDB07982"
"2109","1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*","Lipid","Phosphatidylethanolamine (PE)","52464","LC/MS Pos Late","100008990","2198","740.52250000000004","9546800",NA,NA,"HMDB05323"
"2222","1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*","Lipid","Phosphatidylinositol (PI)","52467","LC/MS Polar","100008993","892","857.51859999999999",NA,NA,NA,"HMDB09789"
"1994","1-palmitoyl-2-dihomo-linolenoyl-GPC (16:0/20:3n3 or 6)*","Lipid","Phosphatidylcholine (PC)","52454","LC/MS Pos Late","100008985","2199","784.58510000000001",NA,NA,NA,NA
"2004","1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)","Lipid","Phosphatidylcholine (PC)","52610","LC/MS Pos Late","100008915","2023","806.56939999999997","6441886","59403-54-2",NA,"HMDB07991"
"2111","1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*","Lipid","Phosphatidylethanolamine (PE)","52465","LC/MS Pos Late","100008991","2119","764.52250000000004","9546799",NA,NA,"HMDB05324"
"1987","1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)","Lipid","Phosphatidylcholine (PC)","42446","LC/MS Pos Late","1537","2160","758.56939999999997","5287971","40811-94-7",NA,"HMDB07973"
"2106","1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)","Lipid","Phosphatidylethanolamine (PE)","42449","LC/MS Pos Late","100001870","2275","716.52250000000004","9546747",NA,NA,"HMDB05322"
"2220","1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)","Lipid","Phosphatidylinositol (PI)","52450","LC/MS Polar","1528","910","833.51850000000002",NA,NA,NA,"HMDB09784"
"1984","1-palmitoyl-2-oleoyl-GPC (16:0/18:1)","Lipid","Phosphatidylcholine (PC)","52461","LC/MS Pos Late","1539","2358","760.58510000000001","6436017","26853-31-6;26853-31-6",NA,"HMDB07972"
"2104","1-palmitoyl-2-oleoyl-GPE (16:0/18:1)","Lipid","Phosphatidylethanolamine (PE)","19263","LC/MS Pos Late","1526","2509","718.53809999999999","5283496","26662-94-2",NA,"HMDB05320"
"2218","1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*","Lipid","Phosphatidylinositol (PI)","52669","LC/MS Polar","100009066","893","835.53420000000006",NA,NA,NA,"HMDB09783"
"1981","1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*","Lipid","Phosphatidylcholine (PC)","52470","LC/MS Pos Late","100008984","2160","732.55380000000002",NA,NA,NA,"HMDB07969"
"1982","1-palmitoyl-2-stearoyl-GPC (16:0/18:0)","Lipid","Phosphatidylcholine (PC)","52616","LC/MS Pos Late","100008921","2653","762.60069999999996",NA,"59403-51-9",NA,"HMDB07970"
"2103","1-palmitoyl-2-stearoyl-GPE (16:0/18:0)*","Lipid","Phosphatidylethanolamine (PE)","57388","LC/MS Pos Late","100009205","2850","720.55380000000002","5326793",NA,NA,"HMDB08925"
"2511","1-palmitoylglycerol (16:0)","Lipid","Monoacylglycerol","21127","LC/MS Neg","100000827","6550","255.2329","14900","542-44-9",NA,"HMDB31074"
"2260","1-palmitoyl-GPA (16:0)","Lipid","Lysophospholipid","34428","LC/MS Pos Late","100001445","1625","393.24009999999998","6419701","17618-08-5","C04036","HMDB00327"
"2275","1-palmitoyl-GPC (16:0)","Lipid","Lysophospholipid","33955","LC/MS Pos Late","100001263","1525","496.33980000000003","86554","17364-16-8",NA,"HMDB10382"
"2329","1-palmitoyl-GPE (16:0)","Lipid","Lysophospholipid","35631","LC/MS Pos Late","100001567","1544","454.2928","9547069","53862-35-4",NA,"HMDB11503"
"2373","1-palmitoyl-GPG (16:0)*","Lipid","Lysophospholipid","45970","LC/MS Neg","100005717","5570","483.27280000000002","3300276",NA,NA,NA
"2380","1-palmitoyl-GPI* (16:0)","Lipid","Lysophospholipid","35305","LC/MS Neg","100001655","5564","571.28890000000001",NA,NA,NA,"HMDB61695"
"2510","1-pentadecanoylglycerol (15:0)","Lipid","Monoacylglycerol","47898","LC/MS Neg","100001431","6200","241.21729999999999","190750","104140-07-0",NA,NA
"87","1-ribosyl-imidazoleacetate*","Amino Acid","Histidine Metabolism","61868","LC/MS Pos Early","100001668","2006","259.09249999999997","5117448","29605-99-0","C05131","HMDB02331"
"2032","1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)","Lipid","Phosphatidylcholine (PC)","42450","LC/MS Pos Late","100001869","2300","810.60069999999996","16219824","35418-59-8",NA,"HMDB08048"
"2126","1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)","Lipid","Phosphatidylethanolamine (PE)","52447","LC/MS Pos Late","100008977","2424","768.55380000000002","5289133",NA,NA,"HMDB09003"
"2237","1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)","Lipid","Phosphatidylinositol (PI)","52449","LC/MS Pos Late","100000616","3000","904.59100000000001",NA,"383907-33-3",NA,"HMDB09815"
"2038","1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6)","Lipid","Phosphatidylcholine (PC)","52611","LC/MS Pos Late","100008916","2197","834.60130000000004",NA,"59403-52-0",NA,"HMDB08057"
"2130","1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*","Lipid","Phosphatidylethanolamine (PE)","52466","LC/MS Pos Late","100008992","2317","792.55380000000002","9546798",NA,NA,"HMDB05334"
"2024","1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*","Lipid","Phosphatidylcholine (PC)","52452","LC/MS Pos Late","100008980","2380","786.60069999999996",NA,NA,NA,"HMDB08039"
"2121","1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*","Lipid","Phosphatidylethanolamine (PE)","52446","LC/MS Pos Late","100008976","2522","744.55380000000002","9546749",NA,NA,"HMDB08994"
"2226","1-stearoyl-2-linoleoyl-GPI (18:0/18:2)","Lipid","Phosphatidylinositol (PI)","52468","LC/MS Pos Late","100008994","3185","880.59100000000001",NA,NA,NA,"HMDB09809"
"2021","1-stearoyl-2-oleoyl-GPC (18:0/18:1)","Lipid","Phosphatidylcholine (PC)","52438","LC/MS Pos Late","100008904","2644","788.6164",NA,"56421-10-4",NA,"HMDB08038"
"2118","1-stearoyl-2-oleoyl-GPE (18:0/18:1)","Lipid","Phosphatidylethanolamine (PE)","42448","LC/MS Pos Late","100001856","2858","746.56939999999997",NA,NA,NA,"HMDB08993"
"2211","1-stearoyl-2-oleoyl-GPG (18:0/18:1)","Lipid","Phosphatidylglycerol (PG)","52623","LC/MS Polar","100001866","717","775.54949999999997",NA,"322647-48-3",NA,NA
"2225","1-stearoyl-2-oleoyl-GPI (18:0/18:1)*","Lipid","Phosphatidylinositol (PI)","52726","LC/MS Pos Late","100009181","3711","882.60659999999996",NA,NA,NA,NA
"2191","1-stearoyl-2-oleoyl-GPS (18:0/18:1)","Lipid","Phosphatidylserine (PS)","19265","LC/MS Pos Late","100000639","3000","790.55930000000001","9547087",NA,NA,"HMDB10163"
"2262","1-stearoyl-GPA (18:0)","Lipid","Lysophospholipid","36810","LC/MS Neg","100001670","5829","437.26740000000001","89567","325465-92-7;799268-65-8",NA,NA
"2284","1-stearoyl-GPC (18:0)","Lipid","Lysophospholipid","33961","LC/MS Pos Late","100001271","1606","524.37109999999996","497299","19420-57-6",NA,"HMDB10384"
"2336","1-stearoyl-GPE (18:0)","Lipid","Lysophospholipid","42398","LC/MS Pos Late","100001461","1626","482.32409999999999","9547068","69747-55-3",NA,"HMDB11130"
"2375","1-stearoyl-GPG (18:0)","Lipid","Lysophospholipid","34437","LC/MS Neg","100001462","5816","511.30410000000001",NA,NA,NA,NA
"2383","1-stearoyl-GPI (18:0)","Lipid","Lysophospholipid","19324","LC/MS Neg","100000656","5794","599.3202",NA,"796963-93-4",NA,"HMDB61696"
"2367","1-stearoyl-GPS (18:0)*","Lipid","Lysophospholipid","45966","LC/MS Pos Late","100004327","1634","526.31399999999996","9547101",NA,NA,NA
"5265","2,2'-Methylenebis(6-tert-butyl-p-cresol)","Xenobiotics","Chemical","62885","LC/MS Polar","100020373","703","339.233","8398","119-47-1",NA,NA
"377","2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism","62805","LC/MS Neg","100020893","1156","177.02269999999999",NA,NA,NA,NA
"4201","2,3-dihydroxyisovalerate","Xenobiotics","Food Component/Plant","38276","LC/MS Polar","100002417","1050","133.0506","677","1756-18-9","C04039","HMDB12141"
"4202","2,3-dihydroxypyridine","Xenobiotics","Food Component/Plant","21132","LC/MS Pos Early","100000861","1420","112.0393","28115","16867-04-2",NA,NA
"5040","2,6-dihydroxybenzoic acid","Xenobiotics","Drug - Topical Agents","63042","LC/MS Neg","100020837","2575","153.01929999999999","9338","303-07-1",NA,"HMDB13676"
"2932","20a-dihydroprogesterone","Lipid","Progestin Steroids","39761","LC/MS Pos Late","100002766","1255","317.2475","92747","145-14-2","C04042","HMDB03069"
"2894","21-hydroxypregnanolone monosulfate (1)","Lipid","Pregnenolone Steroids","62311","LC/MS Neg","100020547","4922","413.20030000000003",NA,NA,NA,NA
"2893","21-hydroxypregnenolone disulfate","Lipid","Pregnenolone Steroids","46115","LC/MS Neg","100001999","3935","245.06710000000001","134595","1164-98-3",NA,NA
"4687","2-acetamidophenol sulfate","Xenobiotics","Drug - Analgesics, Anesthetics","48580","LC/MS Neg","100006190","2251","230.0129","181671","40712-60-5",NA,NA
"113","2-aminoadipate","Amino Acid","Lysine Metabolism","6146","LC/MS Polar","381","3500","160.0615","469","542-32-5;1118-90-7","C00956","HMDB00510"
"489","2-aminobutyrate","Amino Acid","Glutathione Metabolism","42374","LC/MS Pos Early","1128","2059","104.0706","439691","1492-24-6","C02261","HMDB00650"
"1554","2-aminoheptanoate","Lipid","Fatty Acid, Amino","43761","LC/MS Pos Early","100004542","3160","146.11760000000001","227939","1115-90-8",NA,NA
"1559","2-aminooctanoate","Lipid","Fatty Acid, Amino","43343","LC/MS Pos Late","100004227","750","160.13319999999999","69522","644-90-6",NA,"HMDB00991"
"5138","2-aminophenol sulfate","Xenobiotics","Chemical","43266","LC/MS Neg","100004322","1677","188.00229999999999","181670",NA,NA,"HMDB61116"
"2532","2-arachidonoylglycerol (20:4)","Lipid","Monoacylglycerol","19266","LC/MS Neg","100000584","6170","303.23289999999997","5282280","53847-30-6","C13856","HMDB04666"
